(.venv) jacksoncamp@Jacksons-MacBook-Pro mod4-jacksoncamp42 % python3 project/run_mnist_multiclass.py
Epoch 7 loss 0.16301849252018302 valid acc 15/16
Epoch 7 loss 0.20853385321951007 valid acc 14/16
Epoch 7 loss 0.26553877919171337 valid acc 13/16
Epoch 7 loss 0.3522390608307131 valid acc 13/16
Epoch 7 loss 0.11401898408338483 valid acc 15/16
Epoch 7 loss 0.43044568784422654 valid acc 15/16
Epoch 7 loss 0.245250440261193 valid acc 14/16
Epoch 7 loss 0.3784918290169016 valid acc 14/16
Epoch 7 loss 0.48996361837688684 valid acc 14/16
Epoch 7 loss 0.6903310660448716 valid acc 14/16
Epoch 7 loss 0.9656880515119587 valid acc 11/16
Epoch 7 loss 0.1616924904427352 valid acc 14/16
Epoch 7 loss 0.49334045888627254 valid acc 13/16
Epoch 7 loss 0.9712715317105454 valid acc 12/16
Epoch 8 loss 0.01599254121854982 valid acc 14/16
Epoch 8 loss 0.374565375134218 valid acc 15/16
Epoch 8 loss 0.5309106504627389 valid acc 13/16
Epoch 8 loss 0.31462857203647526 valid acc 14/16
Epoch 8 loss 0.06721817376818759 valid acc 14/16
Epoch 8 loss 0.2856033677206571 valid acc 14/16
Epoch 8 loss 0.5949504729588952 valid acc 13/16
Epoch 8 loss 0.7240936406263091 valid acc 13/16
Epoch 8 loss 0.4855029506989374 valid acc 14/16
Epoch 8 loss 0.13128755725261085 valid acc 15/16
Epoch 8 loss 0.5137735973912203 valid acc 13/16
Epoch 8 loss 0.6398214971784943 valid acc 12/16
Epoch 8 loss 0.510307389611216 valid acc 13/16
Epoch 8 loss 0.44847838768827963 valid acc 11/16
Epoch 8 loss 0.6843345967054817 valid acc 14/16
Epoch 8 loss 0.29296831657304623 valid acc 13/16
Epoch 8 loss 0.7491834350734446 valid acc 11/16
Epoch 8 loss 0.5044737833566068 valid acc 13/16
Epoch 8 loss 0.5492961946158652 valid acc 15/16
Epoch 8 loss 0.14732389137630258 valid acc 11/16
Epoch 8 loss 0.7046981954489927 valid acc 14/16
Epoch 8 loss 0.3444640943442482 valid acc 14/16
Epoch 8 loss 0.16956624346972446 valid acc 13/16
Epoch 8 loss 0.1922417708715813 valid acc 13/16
Epoch 8 loss 0.22518048824099848 valid acc 12/16
Epoch 8 loss 0.3637650366278118 valid acc 13/16
Epoch 8 loss 0.4139469382351956 valid acc 13/16
Epoch 8 loss 0.2712790495639764 valid acc 13/16
Epoch 8 loss 0.1572758277535268 valid acc 15/16
Epoch 8 loss 0.04266423078655906 valid acc 14/16
Epoch 8 loss 0.2617577765214185 valid acc 12/16
Epoch 8 loss 0.14929963910047742 valid acc 14/16
Epoch 8 loss 0.06909317299564112 valid acc 14/16
Epoch 8 loss 0.056670570679697954 valid acc 15/16
Epoch 8 loss 0.9298090711654657 valid acc 14/16
Epoch 8 loss 0.3222866340727757 valid acc 12/16
Epoch 8 loss 0.07168215126813311 valid acc 14/16
Epoch 8 loss 0.2973580418000907 valid acc 14/16
Epoch 8 loss 0.36673552809515075 valid acc 13/16
Epoch 8 loss 0.14307014291060363 valid acc 14/16
Epoch 8 loss 0.23292704045218277 valid acc 12/16
Epoch 8 loss 0.15439692619855627 valid acc 14/16
Epoch 8 loss 0.38000658072643345 valid acc 13/16
Epoch 8 loss 0.04574749082801008 valid acc 14/16
Epoch 8 loss 0.4020703684494225 valid acc 11/16
Epoch 8 loss 0.3146185765388225 valid acc 13/16
Epoch 8 loss 0.1805175916507007 valid acc 14/16
Epoch 8 loss 0.6866600633239213 valid acc 13/16
Epoch 8 loss 0.20247382117455492 valid acc 13/16
Epoch 8 loss 0.16344258343166038 valid acc 12/16
Epoch 8 loss 0.3497201622759755 valid acc 12/16
Epoch 8 loss 0.2875197287645562 valid acc 15/16
Epoch 8 loss 0.1711128236227529 valid acc 15/16
Epoch 8 loss 0.03565762458187437 valid acc 15/16
